rank,SASRec,BERT4Rec,"gSASRec (256 negatives, t=1.0)"
2119,0.0003848997876048088,7.682172054046532e-07,7.314412187042763e-07
2120,0.0003783993888646364,7.608125542901689e-07,7.296793000932666e-07
2121,0.00037445774069055915,7.605992777826032e-07,7.255242167047982e-07
2122,0.00037322891876101494,7.595771194246481e-07,7.234244776554988e-07
2123,0.0003730713215190917,7.583582259940158e-07,7.225874014693545e-07
2124,0.0003710355958901346,7.580306942145398e-07,7.215668915705464e-07
2125,0.0003692837490234524,7.573543712169339e-07,7.17427326435427e-07
2126,0.00036918764817528427,7.502132461922884e-07,7.092644409567583e-07
2127,0.0003685732954181731,7.483696435883758e-07,7.068261993481428e-07
2128,0.0003668622812256217,7.476768928427191e-07,7.06675848505256e-07
2129,0.0003667442360892892,7.471851404261542e-07,7.054840693854203e-07
2130,0.00036622173502109945,7.4307774866611e-07,7.049998203001451e-07
2131,0.00036544346949085593,7.428610047099937e-07,6.993340093686129e-07
2132,0.00036532682133838534,7.403460244859161e-07,6.966772616578965e-07
2133,0.00035893538733944297,7.385984872598783e-07,6.850808063063596e-07
2134,0.0003584868973121047,7.382041644632409e-07,6.837798878223111e-07
2135,0.0003574420989025384,7.348199915213627e-07,6.808180046391499e-07
2136,0.00035671243676915765,7.339921239690739e-07,6.784722472730209e-07
2137,0.00035618487163446844,7.314667413993448e-07,6.745219707227079e-07
2138,0.0003548797685652971,7.31042746338062e-07,6.737465696460276e-07
2139,0.00035369727993384004,7.29241378394363e-07,6.727681238771765e-07
2140,0.00035184825537726283,7.262008807629172e-07,6.72701389703434e-07
2141,0.00035182948340661824,7.256871867866721e-07,6.722858074681426e-07
2142,0.0003448955831117928,7.244688049468095e-07,6.646042152169684e-07
2143,0.00034272411721758544,7.242138622132188e-07,6.626681852139882e-07
2144,0.00033918730332516134,7.216360700113e-07,6.62582920085697e-07
2145,0.00033752346644178033,7.210348940134281e-07,6.567642572008481e-07
2146,0.0003331539046484977,7.201909397736017e-07,6.484228833869565e-07
2147,0.00033042917493730783,7.198160005827958e-07,6.470417019954766e-07
2148,0.00032949240994639695,7.198064508884272e-07,6.461013413172623e-07
2149,0.0003294512571301311,7.193192459453712e-07,6.457569270423846e-07
2150,0.000328149733832106,7.186746984189085e-07,6.433406269934494e-07
2151,0.0003281059325672686,7.161541475397826e-07,6.419855367312266e-07
2152,0.00032766550430096686,7.135635655686201e-07,6.374842200784769e-07
2153,0.00032665557228028774,7.121793146325217e-07,6.34267792065657e-07
2154,0.0003262040263507515,7.12019129878172e-07,6.333906981126347e-07
2155,0.00032577139791101217,7.086833306857443e-07,6.293552701208682e-07
2156,0.0003244132676627487,7.073262509038614e-07,6.287199880716798e-07
2157,0.0003235564799979329,7.066958005452761e-07,6.259655265239417e-07
2158,0.00032152081257663667,7.066776106512407e-07,6.249306920835807e-07
2159,0.0003208523557987064,7.044490075713838e-07,6.246750103855447e-07
2160,0.00031974510056898,7.028907589301525e-07,6.245481358746474e-07
2161,0.00031920388573780656,6.991296004343894e-07,6.235060823200911e-07
2162,0.0003179880150128156,6.9888557163722e-07,6.221334842848592e-07
2163,0.0003163600049447268,6.986363700889342e-07,6.217484838089149e-07
2164,0.0003136762243229896,6.97789459991327e-07,6.215984740265412e-07
2165,0.0003132118727080524,6.971415018597327e-07,6.199970243869757e-07
2166,0.00031270316685549915,6.946203825464181e-07,6.085563200031174e-07
2167,0.00031257051159627736,6.916965844538936e-07,6.067598405934405e-07
2168,0.0003108768432866782,6.916556571923138e-07,6.057769610379182e-07
2169,0.0003084309573750943,6.889000019327796e-07,6.03788237185654e-07
2170,0.0003080213500652462,6.885505854370422e-07,5.984774134049076e-07
2171,0.00030794323538430035,6.854019716229232e-07,5.970578627056966e-07
2172,0.00030153372790664434,6.838890840299428e-07,5.968062737338187e-07
2173,0.0003013239474967122,6.834698069724254e-07,5.932459998803097e-07
2174,0.00030041750869713724,6.831348855484976e-07,5.916916165915609e-07
2175,0.00029782895580865443,6.738883371326665e-07,5.853065658811829e-07
2176,0.0002972601796500385,6.678723138975329e-07,5.811904770780529e-07
2177,0.000297062419122085,6.66190942411049e-07,5.806602416669193e-07
2178,0.0002966526080854237,6.655908464381355e-07,5.784212930848298e-07
2179,0.0002958580735139549,6.623292279073212e-07,5.773229645456013e-07
2180,0.000292967539280653,6.573654900421388e-07,5.770086772827199e-07
2181,0.00029049161821603775,6.569048878191097e-07,5.704048930965655e-07
2182,0.0002901630650740117,6.564708883161074e-07,5.63732555747265e-07
2183,0.0002898097154684365,6.530683549499372e-07,5.607182060884952e-07
2184,0.0002893555792979896,6.523425781779224e-07,5.579359481089341e-07
2185,0.00028686830773949623,6.485518611043517e-07,5.565584615396801e-07
2186,0.00028510147240012884,6.484807499873568e-07,5.522815058611741e-07
2187,0.0002830474404618144,6.47670447051496e-07,5.5153623179649e-07
2188,0.0002825074188876897,6.427430321309657e-07,5.512864049705968e-07
2189,0.00028233943157829344,6.376668579832767e-07,5.509778588930203e-07
2190,0.00028230174211785197,6.36584104540816e-07,5.486430154633126e-07
2191,0.0002821949019562453,6.34694117707113e-07,5.469983648254129e-07
2192,0.0002821814559865743,6.342311280604918e-07,5.468345989356749e-07
2193,0.0002784888492897153,6.332249427032366e-07,5.467876462716958e-07
2194,0.0002774356980808079,6.314845109045564e-07,5.464024184220762e-07
2195,0.00027715388569049537,6.277257398323854e-07,5.446320301416563e-07
2196,0.00027706086984835565,6.259664360186434e-07,5.446164550448884e-07
2197,0.0002769771672319621,6.235438263502147e-07,5.417451234279724e-07
2198,0.0002763069642242044,6.226352979865624e-07,5.389557031776349e-07
2199,0.00027412857161834836,6.161159262774163e-07,5.383027996685996e-07
2200,0.0002740556374192238,6.147337785478157e-07,5.367623430174717e-07
2201,0.00027394044445827603,6.109715968705132e-07,5.367562039282348e-07
2202,0.0002737723116297275,6.10236156717292e-07,5.342461690815981e-07
2203,0.000272399396635592,6.068295306249638e-07,5.314457212080015e-07
2204,0.0002716408052947372,6.052794105926296e-07,5.306647494762728e-07
2205,0.0002706914965528995,6.012229505358846e-07,5.25721247868205e-07
2206,0.0002693689602892846,6.010068318573758e-07,5.223299126555503e-07
2207,0.0002681735495571047,6.008910418131563e-07,5.214569682721049e-07
2208,0.00026616122340783477,5.973622592136962e-07,5.199314614401374e-07
2209,0.00026286437059752643,5.928005748501164e-07,5.115242061037861e-07
2210,0.0002626722271088511,5.887115435143642e-07,5.092725245958718e-07
2211,0.00026106336736120284,5.879911668671411e-07,5.037350092607085e-07
2212,0.000258400512393564,5.859937459717912e-07,5.034540322412795e-07
2213,0.0002576686383690685,5.845370196766453e-07,5.030369720770977e-07
2214,0.0002574297250248492,5.837336516378855e-07,5.021569791097136e-07
2215,0.00025546926190145314,5.821664217364741e-07,5.016361797061109e-07
2216,0.00025399652076885104,5.780983656222816e-07,5.007275944990397e-07
2217,0.0002526184543967247,5.74831119593e-07,5.005309162697813e-07
2218,0.00024714472237974405,5.740920983043907e-07,5.004883973924734e-07
2219,0.000245399191044271,5.738917252529063e-07,4.979660275239439e-07
2220,0.0002440331008983776,5.730692009819904e-07,4.970872851117747e-07
2221,0.00024219011538662016,5.725726168748224e-07,4.95646816034423e-07
2222,0.0002421871031401679,5.724945708607265e-07,4.901485795016924e-07
2223,0.00024168008530978113,5.721206548514601e-07,4.874848400504561e-07
2224,0.00024018879048526287,5.719886644328653e-07,4.859243745158892e-07
2225,0.0002388004504609853,5.719510340895795e-07,4.853704353990906e-07
2226,0.00023863428214099258,5.688839905815257e-07,4.848356525144482e-07
2227,0.00023723978665657341,5.686821964445699e-07,4.836340394831495e-07
2228,0.00023677136050537229,5.680848289557616e-07,4.80820915527147e-07
2229,0.00023606537433806807,5.666677793669805e-07,4.798310442311049e-07
2230,0.00023311963013838977,5.665780804520182e-07,4.790189791492594e-07
2231,0.00023278978187590837,5.663127922161948e-07,4.776103423864697e-07
2232,0.00023224641336128116,5.661475483975664e-07,4.770845976054261e-07
2233,0.00023115465592127293,5.640580980070808e-07,4.74462012789445e-07
2234,0.00023059311206452549,5.633716568809177e-07,4.741467307667335e-07
2235,0.0002283775102114305,5.605515980278142e-07,4.730591740553791e-07
2236,0.00022825668565928936,5.602971668849932e-07,4.717949195764959e-07
2237,0.00022821949096396565,5.595581455963838e-07,4.6871218728483655e-07
2238,0.00022819251171313226,5.591772378465976e-07,4.671841224990203e-07
